T,N,sim,beta_interactive.1,beta_interactive.2,beta_within.1,beta_within.2,sde_interactive.1,sde_interactive.2,sde_within.1,sde_within.2
10,10,0,0.7032561553486545,3.186307476465979,0.9944451956796423,3.1913364521801824,,,0.20332270009858197,0.21494009275799694
20,10,0,1.034788928934045,2.9091399464262473,0.9127615863436352,2.8633196249312842,,,0.15021589120355083,0.16371236629205393
30,10,0,0.9827821563052517,3.1257283751933507,0.8245508755450357,2.9477346727825666,,,0.11210295293924097,0.10459295824418335
40,10,0,0.8790997716783551,3.0690604413087854,1.0126600430683081,3.142181309287217,,,0.10194832460637289,0.10701063402865471
50,10,0,0.8831894388413097,2.9052011269260625,0.9810558912056828,2.893252685838285,,,0.09131154394123343,0.09835433730653882
60,10,0,1.0535243710896651,2.9647292568382184,1.0124081493723027,2.912564433777073,,,0.0784023671490066,0.07757035743400559
70,10,0,1.0320440162868962,3.0131929150168553,0.975331541724183,3.0349815466840337,,,0.07396133780294582,0.07389842138638669
80,10,0,1.0731136327981048,3.074349204902685,1.0212347042761987,2.9524011651146944,,,0.06910508761866202,0.07258038626003896
90,10,0,1.0956138684974377,3.1404488231561416,0.930865403788407,2.9568889549400037,,,0.06734927428854662,0.06839016560372811
100,10,0,1.0100105091032745,3.001721926750754,1.0666477585333503,3.021847809293199,,,0.06160086394829933,0.06258142726717707
10,20,0,1.2460758662359304,3.1287273244454674,1.1044540771870355,3.030789050955421,,,0.1368709133523301,0.16644213716426656
20,20,0,1.0545829191799605,2.8826780219426382,1.0050376452255234,2.862364721724822,,,0.1040761981965999,0.11136108672068572
30,20,0,0.8473913138188216,3.052367934711036,0.8909610150681013,2.9655360565395275,,,0.08195359957554965,0.08083343265667021
40,20,0,1.126213453534433,3.1144876295324693,1.0787302030593588,3.035097399836287,,,0.07272220428236442,0.07208689938156825
50,20,0,1.0235073925942402,3.1289477546285234,0.9849045426132944,3.0464148170367014,,,0.0666675884112726,0.06624239656526616
60,20,0,1.0059222212741972,3.011936254806212,1.0076351051167822,2.9674745482574996,,,0.05817309235768787,0.059517758032974405
70,20,0,1.0456643259685023,3.0101040353171555,1.0461293378821952,2.9973299191451503,,,0.05236482486799647,0.050878129419628
80,20,0,1.0134781674908666,3.0490986593118627,0.9257494426472429,2.9423177878208784,,,0.04866257647324765,0.05123604051543282
90,20,0,1.0627865704831159,3.0037374719774306,1.0175869274062652,2.961357748546953,,,0.04722983038184804,0.04745144368514027
100,20,0,0.9871443464322773,2.978693973863326,1.022476445073349,3.0371065201736953,,,0.04432406676028423,0.044161554560535866
10,30,0,0.9553840036222532,3.0618811874349525,0.9510766136071708,2.9910332706775775,,,0.11905878371309146,0.10620885026208096
20,30,0,1.1408445770262041,3.1806988931582296,0.9615147595394686,3.0315358383488675,,,0.08372298418635701,0.09023497787196684
30,30,0,1.1707395741424733,3.082681097673486,1.0161613984023155,3.0132624876362133,,,0.06715793169420452,0.066411718068228
40,30,0,1.0135956305812286,2.961396530407278,1.0524314750114485,2.9984213976918084,,,0.056627897012963585,0.05578528755103373
50,30,0,1.1112455486752495,2.9885834950406505,1.098374403552485,3.009924263432317,,,0.052315037007922095,0.052739972145890344
60,30,0,1.0255974094325175,3.0616231531725226,1.0131848031016764,3.0215077579490197,,,0.04488426357977514,0.04653595568178231
70,30,0,1.1106838240325771,3.0545305116084442,1.0421352443040275,2.982567205839492,,,0.044012186201698084,0.044405082129535096
80,30,0,1.0639513670017635,3.0500341929853434,1.0099634620852127,3.00059601398876,,,0.04068601464601148,0.04136492854886523
90,30,0,1.0775356372091096,3.0432865321261886,0.9915331492435622,2.9522577574022058,,,0.03857240321481284,0.039581890003654745
100,30,0,0.9908790737559912,3.118615933977658,0.9344963394415539,3.074675657075722,,,0.03646349977199103,0.0363553731245316
10,40,0,1.0726035002731074,3.195748179196027,0.9561253472837209,3.1134950445406577,,,0.10765739383056241,0.11050847705511044
20,40,0,1.1229321801100838,2.956308319918506,1.083767842478725,2.950052878414713,,,0.073098985028976,0.07226240149680195
30,40,0,1.0539712659920148,3.090906269128702,1.016639486817426,2.9932350671897403,,,0.05684199135352636,0.05689781707869099
40,40,0,1.0399706980751446,3.068876210568078,0.9434660086423129,2.9991903097775015,,,0.05061479604481833,0.04973542934542514
50,40,0,0.9293764923371164,3.020533262149197,0.9559595448277427,3.0431781625941303,,,0.046598105791596435,0.0446578745371999
60,40,0,0.9866696310335854,2.9485300599887765,0.9672315320881242,2.9280750716922634,,,0.04028998666913078,0.04041040505901785
70,40,0,0.9576464366753328,2.994492043857221,0.9854768273197653,3.030578469282366,,,0.03839587289446868,0.037645391770799765
80,40,0,0.9590588957226878,2.988081007172525,0.9635803452393713,2.996745242042056,,,0.03658958275849424,0.035909460088888415
90,40,0,1.1163578628153097,3.118378119981873,1.0280616172637462,3.0220276996519884,,,0.03425343767761129,0.033262655689958495
100,40,0,1.0550087858098358,3.006892519601731,0.9888866062491292,2.952458991654912,,,0.03200435499125203,0.03232446110589625
10,50,0,1.0369503577637609,3.0927453728259984,0.9378352400836707,3.079928462151268,,,0.08833403857196123,0.09116053144330907
20,50,0,1.1108729530347539,3.152816056732707,1.0673198897118004,3.1426903353004283,,,0.06456419788765018,0.06348443869269978
30,50,0,1.0444489202486942,3.013054781929963,1.0211059039245451,2.97152929631741,,,0.05150404051118789,0.049746333565534706
40,50,0,1.0142474900288327,3.022526769391323,1.038088786836103,3.019776373781967,,,0.04615750257349961,0.046365644929906275
50,50,0,0.9855550540444611,2.9683458230759534,0.9711655897106313,2.9685125791376805,,,0.04196285960949627,0.0419980777973768
60,50,0,0.9972951102138268,2.995686181577419,0.9505733392886103,2.936817374931355,,,0.03909336859124469,0.03783189284773206
70,50,0,1.0398161207899719,2.9565602300562617,1.0345429950442384,2.959397947353954,,,0.03412980603998752,0.03363173831872816
80,50,0,0.9937775273371301,3.0516426142491753,0.9821085356473409,3.034576379266046,,,0.03205618220634171,0.032620506816723786
90,50,0,0.9549987172908985,2.9967726962731973,0.9808359052906815,3.023144787434734,,,0.02982279357261937,0.03036733040325547
100,50,0,1.0090782628783366,2.9636692399331075,0.9932720973433208,2.9629654734047453,,,0.02818881540765873,0.028676180364556464
10,60,0,1.1871225410096855,2.955673870755188,1.1523995683930073,3.028219041513844,,,0.08303774885376408,0.07891611993880594
20,60,0,1.1140179132057817,3.0340080411805275,1.085454547712409,2.974821067122271,,,0.056702009693750846,0.05734264442704347
30,60,0,1.0730455506075884,2.9385175574267706,1.030651979279526,2.9254781668051772,,,0.05066298181731903,0.0482965353486962
40,60,0,0.9971075300880337,3.0439801996364473,0.9768749112777314,3.0242794391860586,,,0.042019370247608545,0.04135604856552176
50,60,0,0.9539049877611738,2.985794140139653,0.9780781170816969,2.992643172823773,,,0.03625377226087444,0.03571988321178112
60,60,0,0.9929113512732215,2.975861310651876,0.9942260989129676,2.983050787299539,,,0.032845486109027,0.03381585547004199
70,60,0,0.9692183001691035,2.976285469413149,0.9785732858557217,2.9715717467499183,,,0.03135711244478208,0.03155228245931509
80,60,0,0.9919269409113802,2.9730194779099754,1.012651513361953,2.9780489142585944,,,0.02939785707929179,0.029356940174434402
90,60,0,0.959257349750775,3.0172817053370586,0.9892626825472348,3.0385056543429436,,,0.027625842306148875,0.027358789320449068
100,60,0,1.0114937559759944,3.0697542334951002,0.9748719167064273,3.028179692233046,,,0.026895481543165067,0.026759966015087185
10,70,0,1.1899795924587764,2.931300531187997,1.0227889411197828,2.846441993678085,,,0.07974296598500284,0.07786171750482518
20,70,0,0.9178786713390679,3.1138192668993874,0.8937303125693734,3.0659561631625056,,,0.05486984999882897,0.055600500283737635
30,70,0,1.1362135997888458,2.990904178690414,1.0841349492537962,2.9740850474719207,,,0.043032734562231265,0.04387631447304914
40,70,0,0.9596768636898645,2.9997425461425067,1.0049922608306758,3.0245385965162983,,,0.03950468566878335,0.03816754946713988
50,70,0,0.9484160956582777,2.9869690934593898,0.9668802807312352,3.005164212175342,,,0.033841729270946155,0.03385306999673858
60,70,0,0.9979854798119803,3.040341234057731,0.9620677618702131,3.0000531462222435,,,0.030701386080343947,0.031078304409010018
70,70,0,1.0012927475612479,3.0017618586365273,1.0106193388148876,3.015836475387462,,,0.028973441172783335,0.02937129028170642
80,70,0,0.9954741158776521,3.0367674048806705,0.98142774465319,3.0394913670228285,,,0.02728712765904283,0.027316777925468678
90,70,0,1.0210649006500567,3.038240805413256,0.9784661409764845,2.9879361967199802,,,0.0251068361477209,0.025082610986438582
100,70,0,1.051951000730707,3.043158863988232,1.0106122768299666,3.0117920100622713,,,0.024462523393602432,0.023618942716517575
10,80,0,0.974214382702467,2.848496366963122,0.9365198748606183,2.884817583747929,,,0.0752455376339378,0.07977058020035992
20,80,0,0.9624806046108141,2.987484359844661,0.9465462145979359,2.973162899774085,,,0.05165276921638413,0.050826738971155534
30,80,0,1.092928874418341,3.0243886699966644,1.011339755901878,2.943806124721481,,,0.04187049418792264,0.04280339849147721
40,80,0,0.9890949265757314,3.0514805851764315,0.993697305146986,3.0419458423277312,,,0.037280968281389125,0.03626299464434826
50,80,0,1.021637035908281,3.0028679469120227,0.9974920442584898,2.9716199546175788,,,0.03183425403002951,0.031454117436045315
60,80,0,0.9955385709302824,3.0162952592172907,1.0273695878773166,3.0420709291677968,,,0.029181857012228786,0.0299975810565258
70,80,0,1.0378307180818425,2.988681923670512,1.0313461680934184,3.001525085006285,,,0.026935115222707265,0.026990717727743866
80,80,0,0.9604202435192732,3.0076375105511417,0.9463046010677657,2.9960094983359906,,,0.02509046827489325,0.025091090029339243
90,80,0,0.9832550864579979,2.9831154759668763,0.9835109101834715,2.980977116206185,,,0.023757933119108867,0.023528933851039758
100,80,0,0.9963982834257301,2.9773592952617136,1.011308826574277,2.9886229412809713,,,0.02257878975021213,0.022581999353779993
10,90,0,0.9190200888073896,3.0111153832846114,0.9407736896603931,3.0670033982154594,,,0.0699773971683003,0.06975199779186353
20,90,0,1.0380201211559559,3.0185147911355763,1.0541639194478685,3.0474463174788387,,,0.04788529758865718,0.04817681599901176
30,90,0,1.0201796260384448,3.0108634183942407,1.0173299908501012,2.9832485330367398,,,0.038829839296772965,0.038276331854400984
40,90,0,1.0113451917105536,3.03090331873355,0.966369012188847,2.9691190284044375,,,0.03440508077475969,0.033365393508994
50,90,0,0.988875173477485,2.95686708701918,0.9922454665965624,2.9730536358973687,,,0.030799346508578178,0.0305481207245905
60,90,0,0.9955025732614615,3.0672809908881966,1.0027791762317682,3.0602388562809004,,,0.02772937384290692,0.028283262714897364
70,90,0,0.9611565433019607,2.990636206272793,0.9789693478327236,3.0043476972412835,,,0.02543110069653968,0.025397371728064028
80,90,0,1.0053200747217161,3.008740425496235,1.02265925672454,3.0215557515257294,,,0.023510688672052565,0.02399042006187498
90,90,0,0.9865537331758745,3.0397436898596055,0.9713714827379027,3.0286191264176296,,,0.02243782547209249,0.02202646439126683
100,90,0,0.9966216678032431,3.018226293989546,0.9872549419631136,3.0033681901501166,,,0.021289288780287904,0.021261025238105517
10,100,0,1.119733931146456,3.090441775210568,1.1139225134732984,3.079323604601758,,,0.066853145532737,0.06618716560349627
20,100,0,0.9933168423699748,2.9944884944916055,0.9424018519233271,2.962947487867484,,,0.04626657048330368,0.04583883089409307
30,100,0,0.9868311872864481,3.0643876952234663,0.9529252378192368,3.0288893932173826,,,0.036175788287687194,0.03646575670197306
40,100,0,1.0402954966175777,2.927758428660148,1.0235527276733722,2.9213608720829822,,,0.031969986882490836,0.03142271997256092
50,100,0,0.973528748363929,3.014464518160622,0.9842513381507897,3.014718397104686,,,0.028520074431354125,0.027886320301634463
60,100,0,1.012848189991928,3.0129650150305984,0.9793172502925569,2.9842509117189935,,,0.026807515514432195,0.02617769183209276
70,100,0,0.9957281313294821,2.986734047741294,1.0041712023296645,2.990343038252045,,,0.02390973588730803,0.02384453116604488
80,100,0,1.0693102567566939,3.0170001463594573,1.0417742124111227,2.9976498013323396,,,0.022801455703845768,0.022358960999241503
90,100,0,0.9806485902619642,2.9929316229107847,0.9835568741029417,2.992221239661775,,,0.020996129873103495,0.02125104010580341
100,100,0,1.0019171781233531,2.959409570177442,1.0049933868217784,2.9630644909703983,,,0.01998140017998505,0.0203780898228706
