T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
10,10,0,0.9571506446165192,2.8066061598168055,4.31466397121279,1.913559809636726,3.4323491839672684,1.316141682395595,3.437228285656545,5.164168251876412,,,,,,,,0.20799633486631575,0.21620032987182758,0.2745814887602204,,
20,10,0,1.039646794944201,3.0719158114022886,5.131710532103959,2.012995679567535,4.082180187242868,1.4427379751694487,3.36495264029738,5.325493398229539,,,,,,,,0.11875013133453517,0.11921334024937369,0.17598416705908557,,
30,10,0,0.9927256102135869,3.1460067458353196,4.842445808497496,2.059538100510631,4.259168926251589,1.3941692489271136,3.4362305898232215,1.9228154630914926,,,,,,,,0.08786563976029292,0.09024586389712422,0.15659330253151654,,
40,10,0,1.2678069982155584,3.074293863485255,4.637225003207039,1.755174124917692,3.779840880533369,1.5114411086391222,3.4224557000337734,4.073668858529879,,,,,,,,0.08616755251852183,0.08158640858904877,0.11255394759690204,,
50,10,0,1.3263812686980976,3.328302046944671,14.797852349061081,1.4312118020809383,-0.7382493067696441,1.424415232032507,3.3875430827957356,6.029828884559788,,,,,,,,0.07437372692353168,0.07427501040774019,0.12866449223309293,,
60,10,0,1.0635146162001181,3.0089431173466705,4.91169393055392,1.9493741849522541,3.989821430747689,1.4456472790729533,3.283567479216842,3.7328664729326793,,,,,,,,0.07080681650540402,0.06944345463940008,0.12286060119629931,,
70,10,0,0.9535068175673365,2.943821104911547,5.051505585814238,1.9551218573117892,4.095914963982724,1.3828392840006707,3.455533559050636,5.767077058668514,,,,,,,,0.06700783719030229,0.0663157815923885,0.12736859636092335,,
80,10,0,0.9619476387869301,3.210325888612129,4.654244410311411,2.083220080243511,3.9878746836365604,1.4250555846969717,3.4546480628054876,3.5390942248025774,,,,,,,,0.05616667535163275,0.055894346845346325,0.07515126557701046,,
90,10,0,1.288171748350781,3.3387924279311134,5.098147581638154,2.2500948510665992,3.376120584671879,1.3497497687964741,3.3398763651022803,4.989080056494016,,,,,,,,0.05785976627449426,0.06018502275235567,0.0779954515156353,,
100,10,0,1.3681274726616002,3.2039686003415886,2.752224133116237,1.8580814048688108,3.969261598308308,1.4149372321197062,3.289470099412778,3.677765051797379,,,,,,,,0.051229363612501876,0.05227950407190289,0.07576727089491794,,
10,20,0,1.1780332040308723,3.118389144748059,4.55814522323157,2.050766277235159,4.100268754895664,1.4818667155044876,3.497322423019929,5.450294904076531,,,,,,,,0.12627712944815409,0.12380411234529175,0.167570909299839,,
