T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,bias_interactive.1,bias_interactive.2,bias_interactive.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,mean_within.1,mean_within.2,mean_within.3,bias_within.1,bias_within.2,bias_within.3,sde_within.1,sde_within.2,sde_within.3,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_u_within.1,ci_u_within.2,ci_u_within.3,rmse_within.1,rmse_within.2,rmse_within.3
10,10,1.1236757362859202,2.9051759506196446,4.540868556044016,0.12367573628592021,0.03160801646011846,0.09182628879119684,,,,,,,,,,0.12367573628592021,0.09482404938035538,0.45913144395598415,1.509393119560275,3.1786579445518117,4.065638275276674,0.509393119560275,0.05955264818393724,0.18687234494466515,0.1938573926822394,0.1649741798858358,0.2525831923994679,1.129439611766247,2.8553144935965413,3.570584315073566,1.889346627354303,3.502001395507082,4.560692235479783,0.509393119560275,0.17865794455181172,0.9343617247233258
20,10,1.176007408670385,3.0039498425788542,4.74759550930765,0.1760074086703849,0.001316614192951408,0.05048089813847003,,,,,,,,,,0.1760074086703849,0.0039498425788542235,0.25240449069235016,1.4407601143511273,3.329761908667216,4.016591254784802,0.4407601143511273,0.10992063622240537,0.19668174904303956,0.1182849061674983,0.1269272511451133,0.1735148677475473,1.2089259583481309,3.0809890677661236,3.676508363217379,1.6725942703541237,3.5785347495683086,4.356674146352225,0.4407601143511273,0.3297619086672161,0.9834087452151978
30,10,0.925393722846252,3.2595078054906845,4.5784443527361045,0.07460627715374801,0.08650260183022818,0.0843111294527791,,,,,,,,,,0.07460627715374801,0.25950780549068453,0.4215556472638955,1.2757111592338608,3.5377881380963894,3.922300197005044,0.2757111592338608,0.17926271269879646,0.21553996059899116,0.1097255537411757,0.1209191778586798,0.1633728176605104,1.0606530257174422,3.300790904453184,3.6020953583376145,1.4907692927502794,3.7747853717395947,4.242505035672474,0.2757111592338608,0.5377881380963894,1.0776998029949558
40,10,0.9787044965608092,2.8950511624682043,5.206580678101823,0.021295503439190844,0.03498294584393191,0.041316135620364666,,,,,,,,,,0.021295503439190844,0.10494883753179574,0.20658067810182335,1.3008220219052593,3.3860986519170098,4.212213035162282,0.3008220219052593,0.12869955063900326,0.15755739296754356,0.0884751969570569,0.0911528300680583,0.1442638975613125,1.12741382234434,3.207442387894716,3.929460991672734,1.4742302214661787,3.5647549159393037,4.4949650786518305,0.3008220219052593,0.38609865191700976,0.7877869648377178
50,10,1.107156778163338,3.349025331218451,4.192138159230851,0.10715677816333802,0.11634177707281701,0.16157236815382986,,,,,,,,,,0.10715677816333802,0.34902533121845103,0.8078618407691494,1.2933347191368818,3.543290397066984,4.036503142812426,0.2933347191368818,0.181096799022328,0.19269937143751487,0.0745581078736223,0.072866477027508,0.1137482137258116,1.1472035129491298,3.400474726412753,3.8135607406040704,1.4394659253246338,3.686106067721215,4.259445545020781,0.2933347191368818,0.543290397066984,0.9634968571875744
60,10,1.257440545017014,3.356533289767056,2.156434841002264,0.2574405450170141,0.11884442992235196,0.5687130317995472,,,,,,,,,,0.2574405450170141,0.3565332897670559,2.843565158997736,1.3524984109028273,3.431972678893989,4.4450241660070695,0.3524984109028273,0.14399089296466303,0.11099516679858609,0.0685497353233783,0.0689683023557442,0.089608721472734,1.2181433985192527,3.2967972902018614,4.2693942992198295,1.486853423286402,3.5671480675861167,4.6206540327943095,0.3524984109028273,0.43197267889398905,0.5549758339929305
70,10,1.11669514886133,3.1078947714123664,4.649859393409438,0.11669514886132992,0.03596492380412212,0.07002812131811247,,,,,,,,,,0.11669514886132992,0.10789477141236636,0.35014060659056234,1.2693613359118885,3.2954329168158063,4.946686885222384,0.2693613359118885,0.0984776389386021,0.010662622955523204,0.0690513080099466,0.0687295856790805,0.0816566346266736,1.134023259127011,3.1607254042124486,4.786642822255358,1.404699412696766,3.430140429419164,5.10673094818941,0.2693613359118885,0.2954329168158063,0.05331311477761602
80,10,1.00010818899344,3.028220724745656,5.043373919504484,0.00010818899344000599,0.009406908248552023,0.008674783900896798,,,,,,,,,,0.00010818899344000599,0.028220724745656067,0.04337391950448399,1.4491738778151162,3.447065939220248,4.150055203474184,0.4491738778151162,0.1490219797400827,0.16998895930516317,0.0636303548503564,0.062380063555849,0.0929029425632781,1.324460673984914,3.3248032612974643,3.967968781992366,1.5738870816453183,3.569328617143032,4.3321416249560025,0.4491738778151162,0.44706593922024807,0.8499447965258158
90,10,1.0358070419530496,2.991705082833045,4.962267188177119,0.03580704195304962,0.0027649723889850244,0.007546562364576204,,,,,,,,,,0.03580704195304962,0.008294917166955074,0.03773281182288102,1.3622804607998436,3.311923059923486,3.873608607455991,0.36228046079984355,0.10397435330782863,0.22527827850880183,0.0632124873501599,0.0603628746654982,0.1391855832258635,1.2383862622203363,3.1936139995758044,3.600809877166096,1.4861746593793508,3.4302321202711674,4.146407337745885,0.36228046079984355,0.3119230599234859,1.1263913925440092
100,10,1.2451964605975658,3.20082152470854,3.71898905637062,0.24519646059756584,0.06694050823618003,0.256202188725876,,,,,,,,,,0.24519646059756584,0.2008215247085401,1.2810109436293802,1.4050093808772772,3.3538502001563204,4.289192169675545,0.4050093808772772,0.11795006671877346,0.14216156606489108,0.0536774483246838,0.0546616531139902,0.0758686153260266,1.2998035153788872,3.246715328717478,4.140492416079609,1.5102152463756673,3.4609850715951627,4.43789192327148,0.4050093808772772,0.3538502001563204,0.7108078303244554
