T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,mean_interactive.4,mean_interactive.5,bias_interactive.1,bias_interactive.2,bias_interactive.3,bias_interactive.4,bias_interactive.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_l_interactive.4,ci_l_interactive.5,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,ci_u_interactive.4,ci_u_interactive.5,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,rmse_interactive.4,rmse_interactive.5,mean_within.1,mean_within.2,mean_within.3,mean_within.4,mean_within.5,bias_within.1,bias_within.2,bias_within.3,bias_within.4,bias_within.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_l_within.4,ci_l_within.5,ci_u_within.1,ci_u_within.2,ci_u_within.3,ci_u_within.4,ci_u_within.5,rmse_within.1,rmse_within.2,rmse_within.3,rmse_within.4,rmse_within.5
10,10,0.9571506446165192,2.806606159816805,4.31466397121279,1.913559809636726,3.4323491839672684,0.04284935538348078,0.06446461339439831,0.13706720575744208,0.04322009518163705,0.1419127040081829,,,,,,,,,,,,,,,,0.04284935538348078,0.19339384018319494,0.6853360287872103,0.0864401903632741,0.5676508160327316,1.316141682395595,3.437228285656545,5.164168251876412,,,0.3161416823955949,0.14574276188551494,0.03283365037528245,,,0.2079963348663157,0.2162003298718275,0.2745814887602204,,,0.9084763571412835,3.0134834256620837,4.62599842308499,,,1.7238070076499064,3.860973145651006,5.702338080667834,,,0.3161416823955949,0.4372282856565448,0.16416825187641226,,
20,10,1.039646794944201,3.0719158114022886,5.131710532103959,2.012995679567535,4.082180187242868,0.03964679494420098,0.023971937134096215,0.026342106420791822,0.00649783978376739,0.020545046810716894,,,,,,,,,,,,,,,,0.03964679494420098,0.07191581140228864,0.1317105321039591,0.01299567956753478,0.08218018724286758,1.442737975169449,3.36495264029738,5.325493398229539,,,0.4427379751694489,0.12165088009912672,0.06509867964590779,,,0.1187501313345351,0.1192133402493736,0.1759841670590855,,,1.2099919945943587,3.1312987869318887,4.980570768944451,,,1.6754839557445391,3.5986064936628717,5.6704160275146265,,,0.4427379751694489,0.36495264029738017,0.32549339822953893,,
30,10,0.9927256102135869,3.14600674583532,4.842445808497496,2.059538100510631,4.259168926251589,0.007274389786413149,0.04866891527844001,0.03151083830050076,0.0297690502553154,0.06479223156289726,,,,,,,,,,,,,,,,0.007274389786413149,0.14600674583532003,0.15755419150250383,0.0595381005106308,0.25916892625158905,1.3941692489271136,3.436230589823221,1.9228154630914929,,,0.3941692489271136,0.14541019660774035,0.6154369073817014,,,0.0878656397602929,0.0902458638971242,0.1565933025315165,,,1.221955759518369,3.259351946831154,1.6158982299095357,,,1.5663827383358582,3.613109232815288,2.22973269627345,,,0.3941692489271136,0.43623058982322105,3.077184536908507,,
40,10,1.2678069982155584,3.074293863485255,4.637225003207039,1.755174124917692,3.779840880533369,0.2678069982155584,0.0247646211617516,0.07255499935859219,0.12241293754115401,0.055039779866657756,,,,,,,,,,,,,,,,0.2678069982155584,0.0742938634852548,0.362774996792961,0.24482587508230802,0.22015911946663103,1.5114411086391222,3.4224557000337734,4.073668858529879,,,0.5114411086391222,0.14081856667792447,0.18526622829402423,,,0.0861675525185218,0.0815864085890487,0.112553947596902,,,1.342555809066856,3.2625492775712686,3.8530671749221423,,,1.6803264082113885,3.5823621224962783,4.294270542137616,,,0.5114411086391222,0.4224557000337734,0.9263311414701212,,
50,10,1.3263812686980976,3.328302046944671,14.79785234906108,1.4312118020809383,-0.7382493067696441,0.3263812686980976,0.1094340156482237,1.9595704698122158,0.2843940989595308,1.184562326692411,,,,,,,,,,,,,,,,0.3263812686980976,0.32830204694467113,9.79785234906108,0.5687881979190617,4.738249306769644,1.424415232032507,3.387543082795736,6.029828884559788,,,0.424415232032507,0.12918102759857866,0.20596577691195767,,,0.0743737269235316,0.0742750104077401,0.1286644922330929,,,1.278645405866368,3.2419667374452277,5.777651113693793,,,1.5701850581986458,3.5331194281462444,6.282006655425784,,,0.424415232032507,0.387543082795736,1.0298288845597883,,
60,10,1.063514616200118,3.0089431173466705,4.91169393055392,1.949374184952254,3.989821430747689,0.06351461620011789,0.002981039115556842,0.017661213889216043,0.02531290752387305,0.0025446423130777163,,,,,,,,,,,,,,,,0.06351461620011789,0.008943117346670526,0.08830606944608022,0.0506258150477461,0.010178569252310865,1.445647279072953,3.283567479216842,3.7328664729326793,,,0.4456472790729531,0.09452249307228063,0.2534267054134641,,,0.070806816505404,0.0694434546394,0.1228606011962993,,,1.306868468862425,3.147460809161577,3.492064119468994,,,1.5844260892834812,3.4196741492721068,3.9736688263963647,,,0.4456472790729531,0.2835674792168419,1.2671335270673207,,
70,10,0.9535068175673364,2.943821104911547,5.051505585814238,1.9551218573117888,4.095914963982724,0.04649318243266365,0.018726298362817733,0.01030111716284754,0.02243907134410561,0.02397874099568109,,,,,,,,,,,,,,,,0.04649318243266365,0.056178895088453196,0.0515055858142377,0.04487814268821122,0.09591496398272437,1.382839284000671,3.455533559050636,5.767077058668514,,,0.3828392840006709,0.15184451968354531,0.15341541173370282,,,0.0670078371903022,0.0663157815923885,0.1273685963609233,,,1.251506336425755,3.3255570155229304,5.517439197039685,,,1.5141722315755868,3.5855101025783416,6.016714920297343,,,0.3828392840006709,0.45553355905063597,0.7670770586685141,,
80,10,0.96194763878693,3.210325888612129,4.654244410311411,2.083220080243511,3.98787468363656,0.038052361213069985,0.07010862953737629,0.06915111793771782,0.0416100401217554,0.0030313290908600132,,,,,,,,,,,,,,,,0.038052361213069985,0.21032588861212886,0.3457555896885891,0.0832200802435108,0.012125316363440053,1.4250555846969717,3.454648062805488,3.5390942248025774,,,0.4250555846969717,0.15154935426849603,0.2921811550394845,,,0.0561666753516327,0.0558943468453463,0.0751512655770104,,,1.314970923876418,3.3450971560492193,3.3918004508790323,,,1.5351402455175254,3.564198969561757,3.6863879987261226,,,0.4250555846969717,0.4546480628054881,1.4609057751974226,,
90,10,1.288171748350781,3.3387924279311134,5.098147581638154,2.2500948510665992,3.376120584671879,0.2881717483507811,0.11293080931037114,0.019629516327630724,0.12504742553329962,0.15596985383203021,,,,,,,,,,,,,,,,0.2881717483507811,0.3387924279311134,0.09814758163815362,0.25009485106659923,0.6238794153281209,1.349749768796474,3.3398763651022803,4.989080056494016,,,0.3497497687964739,0.11329212170076008,0.0021839887011967816,,,0.0578597662744942,0.0601850227523556,0.0779954515156353,,,1.23634671074456,3.2219158880989394,4.8362117805654306,,,1.4631528268483878,3.457836842105621,5.141948332422602,,,0.3497497687964739,0.33987636510228025,0.010919943505983909,,
100,10,1.3681274726616002,3.2039686003415886,2.752224133116237,1.8580814048688108,3.969261598308308,0.3681274726616002,0.0679895334471962,0.44955517337675255,0.0709592975655946,0.00768460042292296,,,,,,,,,,,,,,,,0.3681274726616002,0.2039686003415886,2.247775866883763,0.1419185951311892,0.03073840169169184,1.4149372321197062,3.289470099412778,3.677765051797379,,,0.41493723211970623,0.0964900331375927,0.26444698964052427,,,0.0512293636125018,0.0522795040719028,0.0757672708949179,,,1.314529524488296,3.1870041543022336,3.52926392963645,,,1.5153449397511165,3.3919360445233226,3.8262661739583077,,,0.41493723211970623,0.2894700994127781,1.3222349482026212,,
10,20,1.1780332040308723,3.118389144748059,4.55814522323157,2.050766277235159,4.100268754895664,0.1780332040308723,0.03946304824935298,0.08837095535368604,0.02538313861757957,0.025067188723916,,,,,,,,,,,,,,,,0.1780332040308723,0.11838914474805895,0.4418547767684302,0.05076627723515914,0.100268754895664,1.4818667155044876,3.497322423019929,5.450294904076531,,,0.48186671550448756,0.16577414100664298,0.09005898081530628,,,0.126277129448154,0.1238041123452917,0.167570909299839,,,1.2343680897150033,3.2546708216852065,5.121861956992219,,,1.7293653412939718,3.7399740243546513,5.778727851160844,,,0.48186671550448756,0.4973224230199289,0.4502949040765314,,
20,20,1.2826569307081177,3.079581945673511,4.31458211187246,2.010940808083093,3.864071181764736,0.2826569307081177,0.026527315224503727,0.13708357762550794,0.005470404041546528,0.033982204558815954,,,,,,,,,,,,,,,,0.2826569307081177,0.07958194567351118,0.6854178881275397,0.010940808083093057,0.13592881823526382,1.4302980792846012,3.223120514754603,2.788420912042028,,,0.4302980792846012,0.07437350491820105,0.4423158175915944,,,0.0861649559574591,0.0855109491277098,0.1102698574938799,,,1.2614178688785014,3.055522134180455,2.5722959627736595,,,1.599178289690701,3.3907188953287513,3.0045458613103966,,,0.4302980792846012,0.22312051475460315,2.211579087957972,,
30,20,1.0291592797224125,2.9653090039825285,5.080760829632293,1.783989355971098,3.964910642260543,0.0291592797224125,0.011563665339157167,0.01615216592645865,0.10800532201445101,0.008772339434864218,,,,,,,,,,,,,,,,0.0291592797224125,0.0346909960174715,0.08076082963229325,0.21601064402890202,0.03508935773945687,1.4907242675941337,3.3791075896749385,3.066833885039789,,,0.4907242675941337,0.12636919655831283,0.3866332229920422,,,0.0720502128669347,0.0733505706193919,0.09852348936877,,,1.3495084452964974,3.2353431130154684,2.8737313942457847,,,1.63194008989177,3.5228720663344086,3.259936375833793,,,0.4907242675941337,0.3791075896749385,1.933166114960211,,
