r,T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,mean_interactive.4,mean_interactive.5,bias_interactive.1,bias_interactive.2,bias_interactive.3,bias_interactive.4,bias_interactive.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_l_interactive.4,ci_l_interactive.5,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,ci_u_interactive.4,ci_u_interactive.5,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,rmse_interactive.4,rmse_interactive.5,mean_within.1,mean_within.2,mean_within.3,mean_within.4,mean_within.5,bias_within.1,bias_within.2,bias_within.3,bias_within.4,bias_within.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_l_within.4,ci_l_within.5,ci_u_within.1,ci_u_within.2,ci_u_within.3,ci_u_within.4,ci_u_within.5,rmse_within.1,rmse_within.2,rmse_within.3,rmse_within.4,rmse_within.5
1,50,50,1.3128292514415665,3.310846421580652,1.144364806829328,2.070860496224237,3.9783864670432942,0.3128292514415665,0.1036154738602173,0.7711270386341343,0.03543024811211848,0.00540338323917644,5.003152533549852,5.15032234985497,50.18037916789832,15.107806244897423,7.079158984603646,-8.493169523476467,-6.78359989290679,-97.2073710928154,-27.539895629184027,-9.896510183612993,11.118828026359601,13.405292736068095,99.49610070647405,31.681616621632504,17.85328311769958,0.3208116263655992,0.3199310019845098,4.274186679265332,0.1975265285064027,0.1592265182264937,1.4077048809533104,3.4036934676488935,3.653424322304587,,,0.40770488095331037,0.13456448921629782,0.26931513553908265,,,0.03313130363893588,0.03324617720863025,0.04873206987272817,,,1.3427687190601352,3.3385321576963416,3.5579112204619503,,,1.4726410428464856,3.4688547776014453,3.7489374241472233,,,0.4086527802167256,0.4046269535976388,1.642191429750784,,
2,50,50,1.0248306024224734,3.0509047914969316,4.885644356989846,1.9915754217984816,4.025760177092648,0.02483060242247337,0.016968263832310537,0.022871128602030843,0.0042122891007592145,0.006440044273162027,1.6989196290233337,1.6821678126851407,3.234432004384776,1.7684758378225425,2.079483367669508,-2.30499068309141,-0.246083537318464,-1.4537258820480137,-1.474573527862999,-0.049952329989650934,4.354651887936357,6.347893120312327,11.225014596027705,5.457724371459962,8.101472684174947,0.05836054304749094,0.06662585685874255,0.21601408220890955,0.059472065073258314,0.05329819367103296,1.380054206326232,3.4048938426706767,3.9210526375374064,,,0.380054206326232,0.1349646142235589,0.21578947249251873,,,0.03374571039023973,0.03349086665271934,0.05090558890172794,,,1.313913829328643,3.339252950220313,3.8212795166782176,,,1.446194583323821,3.4705347351210403,4.020825758396595,,,0.3818204644695269,0.4062586723027213,1.3576892271262972,,
3,50,50,1.046524264514179,3.038776680010521,4.86462530532569,2.0069595530520488,4.008922744813537,0.046524264514179015,0.01292556000350705,0.027074938934861948,0.0034797765260243807,0.002230686203384291,1.6064958950433947,1.618178213127455,3.0567849122814996,1.765303647882337,1.894113094874853,-2.102149831082313,-0.1327943382866703,-1.126563031231477,-1.452972018574509,0.29652929621312696,4.1951983601106715,6.210347698307713,10.855813641882857,5.4668911246786065,7.721316193413948,0.07241166755474941,0.06546641395604638,0.21359438667237585,0.059179646160998835,0.047547925864914804,1.406679964619066,3.4012738921622576,4.118247870599561,,,0.40667996461906597,0.13375796405408588,0.17635042588008787,,,0.03324628278977319,0.03314597402249606,0.05170202391507728,,,1.3415184477312767,3.336308976845665,4.016913765798181,,,1.4718414815068552,3.46623880747885,4.21958197540094,,,0.40817189383189145,0.40374694484201434,1.332783604528665,,
4,50,50,1.0386648940471541,3.041365984545331,4.852802598443398,2.017086291228371,3.9929364060184662,0.03866489404715412,0.013788661515110304,0.029439480311320487,0.008543145614185566,0.0017658984953834445,1.6628871163291161,1.673251988146827,3.3997738611664245,1.695704458823338,1.8913443686396771,-2.2205339643135806,-0.23814764928249144,-1.8106317250234722,-1.3064333764893545,0.28596956112205163,4.297863752407889,6.320879618373153,11.516236921910266,5.340605958946097,7.699903250914881,0.07293613981342616,0.07345122346925183,0.29779040589824907,0.04375838899408846,0.03695910436738341,1.404449736715903,3.395540100537847,4.200939421168284,,,0.404449736715903,0.13184670017928232,0.15981211576634316,,,0.03356437339627968,0.03342739544193201,0.0529202755554188,,,1.3386647736955406,3.330023609374682,4.097217587027728,,,1.4702346997362654,3.461056591701012,4.30466125530884,,,0.4072375391750856,0.39769481751787117,0.9492684816671925,,
5,50,50,0.9924894456481728,3.0267026081243937,4.977273112369849,2.0211471805599883,3.966369353991985,0.007510554351827237,0.008900869374797912,0.0045453775260302365,0.01057359027999416,0.008407661502003783,1.5797387032703605,1.5778768509556977,2.7630992046620824,1.6957103477486606,1.8737730007617763,-2.103741517745741,-0.06587919178824864,-0.4383018144791002,-1.3023840292392772,0.2938417572953602,4.088720409042087,6.119284408037036,10.392848039218798,5.344678390359254,7.6388969506886095,0.06435456116020476,0.061491062589964646,0.12073267021107972,0.03429408387506329,0.0694534431010957,1.3678417617603114,3.401706990322534,4.167070152235826,,,0.36784176176031136,0.13390233010751137,0.16658596955283472,,,0.033353372051657,0.033645168079660205,0.05116516505071631,,,1.3024703537760989,3.3357636726326034,4.066788271473375,,,1.4332131697445238,3.4676503080124648,4.267352032998278,,,0.3712627831425501,0.40390112365315123,1.4263928267642747,,
6,50,50,1.0207020305465313,3.039313403358393,4.884816871247059,2.004594191583354,4.00949766588518,0.020702030546531303,0.013104467786130947,0.02303662575058816,0.0022970957916770285,0.0023744164712951044,1.4934351825017846,1.5132877045337385,2.715882781825195,1.592415289001147,1.8216715732204904,-1.9063771404019694,0.07332400422497454,-0.4382155673627759,-1.1164824232898356,0.43908699071259916,3.947781201495032,6.005302802491811,10.207849309856893,5.125670806456544,7.579908341057761,0.07152262937691115,0.06409693525897764,0.2151533285883024,0.04288071676501059,0.022224834407106535,1.381710089225314,3.415768463928154,4.473442878835309,,,0.381710089225314,0.13858948797605133,0.10531142423293822,,,0.03297171641640133,0.03299887532112533,0.05117796383966818,,,1.3170867125406993,3.351091856768421,4.373135912907466,,,1.4463334659099287,3.480445071087887,4.573749844763152,,,0.38418555961532497,0.4182534739440834,0.8580039739489272,,
7,50,50,0.9945410571637595,3.00737466872174,5.005771836530447,1.980331500249049,4.005677666944368,0.005458942836240488,0.002458222907246732,0.0011543673060893766,0.009834249875475543,0.0014194167360919163,1.5164779572293847,1.5164811088756451,2.4925945829763374,1.5542007888923561,1.815208848800225,-1.977701122354707,0.03512631209011108,0.1203762258371901,-1.0658460707237087,0.44793369887751444,3.9667832366822258,5.979623025353369,9.891167447223705,5.026509071221806,7.5634216350112204,0.03358363133000879,0.049227202473209206,0.08709416933476119,0.05584220047122188,0.0743390530443512,1.3903132408472498,3.4001688509298953,3.505811434917218,,,0.39031324084724983,0.13338961697663176,0.2988377130165564,,,0.03335987673757743,0.03336078888812393,0.04786899463055122,,,1.3249290839129024,3.3347829062133285,3.411989929465196,,,1.4556973977815972,3.465554795646462,3.5996329403692395,,,0.39166376744261966,0.40111569047188705,1.8188506955622377,,
8,50,50,1.0274325257057328,3.0200187849056896,4.931612271481165,1.9991880856828714,4.003304567582893,0.027432525705732846,0.006672928301896548,0.013677545703767002,0.00040595715856428516,0.0008261418957231648,1.5215754524458291,1.5111231207004363,2.699123244050213,1.5320521649663004,1.8168761486740088,-1.95480056084833,0.05827189212706152,-0.35857207669216695,-1.0035789800876949,0.44229275181199457,4.009665612259796,5.981765677684318,10.221796619654498,5.001955151453438,7.564316383353791,0.05826053054010174,0.05259052267109332,0.1340921547037638,0.06650742387481787,0.07562742031497514,1.4081465688351429,3.400502215113171,4.042218255850979,,,0.4081465688351429,0.13350073837105705,0.19155634882980427,,,0.03314615497279978,0.03315218750531425,0.050649243695540955,,,1.343181298862472,3.3355251215940367,3.942947562363526,,,1.4731118388078137,3.4654793086323057,4.141488949338432,,,0.4092122934740087,0.40241540302648077,1.1803028880119453,,
9,50,50,0.9949919672715752,3.0364090435904214,4.933270831764108,1.9954750592841397,3.970145631315693,0.0050080327284247605,0.012136347863473803,0.013345833647178474,0.0022624703579301464,0.007463592171076727,1.5614598772171508,1.5711559139668174,2.8107896293216106,1.624580216111833,1.8972779924957521,-2.0654131553783754,-0.04299996188165256,-0.5757756098249374,-1.1886436542913508,0.2515490973635641,4.0553970899215255,6.115818049062495,10.442317273353153,5.17959377285963,7.688742165267822,0.0756357329212135,0.07250462561397711,0.16003238351721033,0.06449244645074832,0.08017007494077079,1.4068355271680515,3.421745560275203,4.725115414833374,,,0.4068355271680515,0.1405818534250677,0.05497691703332528,,,0.03303968793915609,0.0330595824780462,0.05207088100840142,,,1.342078928746863,3.356949969274301,4.623058363413636,,,1.47159212558924,3.4865411512761053,4.827172466253111,,,0.40771596942053223,0.42267195412415115,0.8570859432074978,,
10,50,50,1.038032763645446,3.0212304276946362,4.905039630089029,2.0152241371252786,4.043595948670708,0.038032763645446055,0.007076809231545411,0.018992073982194137,0.007612068562639296,0.01089898716767701,1.4898929315210903,1.5147742424659163,2.736978820789157,1.5532569465462285,1.8749839938125383,-1.882103722956692,0.05232746775249719,-0.4593402851066255,-1.0291035368419852,0.36869484920906137,3.9581692502475843,5.990133387636775,10.269419545284684,5.059551811092542,7.718497048132354,0.05685319291820599,0.07208689193069145,0.19151159789366665,0.063820136811663,0.08055883856460781,1.414427107458844,3.375980069676782,4.791143274523609,,,0.4144271074588439,0.12532668989226062,0.041771345095278176,,,0.03350546424887843,0.03340057900653431,0.05088773307818745,,,1.3487576042457479,3.31051613776119,4.691405150435474,,,1.48009661067194,3.441444001592374,4.890881398611744,,,0.4155368336069148,0.37748161125291635,0.6456207562943295,,
