state,year,price,pop,pop16,cpi,ndi,sales,pimin,log_C_it,log_C_it_lag1,log_P_it,log_Y_it,log_Pn_it
1,64,29.8,3431.0,2276.7,31.0,1684.0732025,95.4,27.5,4.968203316234714,4.956081132122023,-0.03947881097378746,3.99498345879041,-0.11980119981262065
1,65,29.8,3486.0,2327.5,31.5,1809.8418752,98.5,28.9,4.994016765106787,4.968203316234714,-0.055479152320228646,4.051007212844067,-0.08614595071320094
1,66,31.5,3524.0,2369.7,32.4,1915.1603572,96.4,29.5,4.965339544834087,4.994016765106787,-0.028170876966696335,4.079398212751932,-0.0937681594525095
1,67,31.6,3533.0,2393.7,33.4,2023.5463678,95.5,29.6,4.948433329863485,4.965339544834087,-0.05539877938978817,4.104050978723558,-0.12078153865263992
1,68,35.6,3522.0,2405.2,34.8,2202.4855362,88.4,32.0,4.863267919534336,4.948433329863485,0.02272825107755631,4.147724404016289,-0.083881483980702
1,69,36.6,3531.0,2411.9,36.7,2377.3346665,90.1,32.8,4.8820864629248835,4.863267919534336,-0.0027285146532040625,4.170958496036628,-0.11234823967042668
1,70,39.6,3444.0,2394.6,38.8,2591.0391591,89.8,34.3,4.861002359573032,4.8820864629248835,0.02040887163120725,4.201394047326972,-0.12327489245733356
1,71,42.7,3481.0,2443.5,40.5,2785.3159706,95.4,35.8,4.911966749555471,4.861002359573032,0.05289694612208556,4.230814626247894,-0.12335408070583893
1,72,42.3,3511.0,2484.7,41.8,3034.8082969,101.1,37.4,4.961859095297976,4.911966749555471,0.011890746521521554,4.285007197849335,-0.11122563511022437
1,73,42.1,3540.0,2526.0,44.4,3387.5740861,102.9,37.3,4.971247346057388,4.961859095297976,-0.05319172874984325,4.334629865946047,-0.17424614278840925
1,74,43.1,3574.0,2573.9,49.3,3718.8671751,108.2,41.4,5.012244524769215,4.971247346057388,-0.1344010839389423,4.323250297019477,-0.17464320021737564
1,75,46.6,3614.0,2623.7,53.8,4087.9931169,111.7,43.0,5.036046362967731,5.012244524769215,-0.1436729260361384,4.330535980981508,-0.22407335147417629
1,76,50.4,3657.0,2677.4,56.9,4486.7718352,116.2,46.4,5.0671098092153946,5.036046362967731,-0.12130416605496225,4.367593413361347,-0.20399588190007567
1,77,50.1,3690.0,2719.6,60.6,4899.8656869,117.1,48.8,5.06816991798594,5.0671098092153946,-0.1902738849844497,4.3926681798110305,-0.2165645802161673
1,78,55.1,3728.0,2764.6,65.2,5450.9983257,123.0,53.6,5.111160293147642,5.06816991798594,-0.16830975277373847,4.426094580976976,-0.19591040085585093
1,79,56.8,3769.0,2810.7,72.6,5957.1405451,121.4,56.5,5.092467030267281,5.111160293147642,-0.2454285961036447,4.407380948788044,-0.2507242836783551
1,80,60.6,3894.0,2898.9,82.4,6466.350293,123.2,59.3,5.108914603358192,5.092467030267281,-0.30729054384015725,4.3627816945081905,-0.3289761309117463
1,81,68.8,3917.0,2924.7,90.9,7042.0231606,119.6,62.6,5.076286984879027,5.108914603358192,-0.27855625624413527,4.349890787449757,-0.3729947230773804
1,82,73.1,3943.0,2953.5,96.5,7505.2199795,119.1,67.8,5.0689144234915915,5.076286984879027,-0.2777146415892075,4.353811046352355,-0.3529808133985904
1,83,84.4,3959.0,2977.5,99.6,7974.5518556,116.3,78.6,5.041080505401294,5.0689144234915915,-0.165594762988641,4.382848567828398,-0.23679046515539162
1,84,90.8,3990.0,3009.1,103.9,8693.376058,113.0,86.8,5.009538018885993,5.041080505401294,-0.1347696124979342,4.42688774390246,-0.1798222764388773
1,85,99.0,4020.0,3039.8,107.6,9059.4344712,114.5,90.7,5.020065001845,5.009538018885993,-0.0833007975930941,4.433141328963756,-0.17086329060659303
1,86,103.0,4050.0,3072.4,109.6,9674.9852107,116.3,98.8,5.032430925500677,5.020065001845,-0.06210838628427928,4.4804616147730805,-0.10373976976009296
1,87,110.0,4083.0,3104.0,113.6,10213.847735,114.0,103.5,5.010338858410962,5.032430925500677,-0.032203140494634706,4.498816193329491,-0.09311189358162711
1,88,114.4,4102.0,3124.0,118.3,10993.0,112.1,109.2,4.991751757750864,5.010338858410962,-0.03352269203864345,4.531790214594523,-0.08004270767353637
1,89,122.3,4118.0,3140.0,124.0,11634.0,105.6,121.5,4.930803179957596,4.991751757750864,-0.013804522911910271,4.54140555886567,-0.0203673028244337
1,90,139.1,4129.2,3148.6,130.7,12806.0,108.6,132.3,4.958797181510741,4.930803179957596,0.06228847829922096,4.584764469448571,0.012167450490733965
1,91,144.4,4178.3,3185.1,136.2,13360.0,107.9,137.4,4.95262565180637,4.958797181510741,0.05846283274331389,4.585896053375225,0.008771986072837041
1,92,172.2,4226.3,3226.7,140.3,14533.0,109.1,159.5,4.962131855482756,4.95262565180637,0.204873604885215,4.6403942175177555,0.128260935116484
3,64,24.0,1549.0,1005.6,31.0,2063.5159984,121.0,25.5,5.227815728737572,5.2628051592579554,-0.25593337413720063,4.198179397718386,-0.19530875232076572
3,65,24.2,1575.0,1024.9,31.5,2162.6639143,123.2,25.3,5.243469276521635,5.227815728737572,-0.26363491266894673,4.229108488622115,-0.2191831500981128
3,66,29.6,1609.0,1051.9,32.4,2318.6153235,113.9,25.5,5.160335685700291,5.243469276521635,-0.09038406146826894,4.270567020361232,-0.23947997063390317
