starting value estimator,T,N,beta1,beta2
pooled,10,100,1.1692561875916117,3.171052630369579
pooled,20,100,1.1679676981794604,3.1587744829304083
pooled,50,100,1.1462302046420234,3.1402071158724576
pooled,100,100,1.119640833281803,3.1085515171584257
pooled,100,10,1.1409638581142514,3.1793023688179285
pooled,100,20,1.113713541500464,3.146347867746488
pooled,100,50,1.1663785646066258,3.151000464997877
two-way,10,100,1.1226527242743494,3.1123532753820373
two-way,20,100,1.0941581001678693,3.0763023026049763
two-way,50,100,1.070764876535139,3.0643666619203187
two-way,100,100,1.012929682350617,3.005705903083412
two-way,100,10,1.1068408866769257,3.0980207568828115
two-way,100,20,1.1135995307461646,3.146497080953888
two-way,100,50,1.006926299207136,2.9892109458368434
