"method","N","T","Mean beta1","SD beta1","Mean beta2","SD beta2","Mean mu","SD mu"
"Interactive-Effects Estimator",100,10,1.07924697704226,0.172464802124342,3.03458875630236,0.134950276207852,4.62654112188798,0.772236660916846
"Interactive-Effects Estimator",100,20,1.01451319349608,0.0537052716715639,2.99603236995217,0.0743667621493364,4.97427833840864,0.214521100843344
"Interactive-Effects Estimator",100,50,0.998765111600436,0.0300769783233247,3.00314635787303,0.0321989555821118,4.99681983343127,0.0609463109614956
"Interactive-Effects Estimator",100,100,1.00693575692139,0.0301538229348774,2.99509512524711,0.0242232319330254,4.98864109526188,0.0323365677259694
"Interactive-Effects Estimator",10,100,1.03056169519489,0.167015619671938,3.08462452214672,0.113317375945617,4.58873016824422,1.04581120220228
"Interactive-Effects Estimator",20,100,0.974237067929229,0.0612267703892767,2.99785897176099,0.0558945280706818,4.99316434505047,0.116851049809708
"Interactive-Effects Estimator",50,100,0.997215193860735,0.0220772093535446,3.00326824418005,0.0243510198849199,4.99932958767566,0.0275046847786
"Within Estimator",100,10,1.46040477028236,0.463040323210859,3.40688240638619,0.411231336634277,4.21247940409135,0.802390625010477
"Within Estimator",100,20,1.43846164658376,0.439201923311957,3.41890621063259,0.420299080404754,4.18492722894893,0.832930700272832
"Within Estimator",100,50,1.43925979822122,0.440297429310341,3.43680040623989,0.437231434290752,4.16373914333436,0.863410039561967
"Within Estimator",100,100,1.44333794191041,0.443478615501609,3.43342922151847,0.433789369052693,4.06134470970287,0.945915745602049
"Within Estimator",10,100,1.42747757991784,0.430934982377277,3.44933655260712,0.451423430089802,4.24664063711908,0.849602766033538
"Within Estimator",20,100,1.43102303269211,0.433576353961332,3.44614564895123,0.448586314950622,4.08858623435666,0.974140633073013
"Within Estimator",50,100,1.42655494995176,0.427300939661527,3.43918061446895,0.439973128397352,4.05711009153317,0.955416311079303
