"method","N","T","Mean beta1","SD beta1","Mean beta2","SD beta2","Mean mu","SD mu","Mean gamma","SD gamma","Mean delta","SD delta"
"Interactive-Effects Estimator",100,10,1.14512095998788,0.217834253315172,3.1473033355982,0.21219813030185,3.15950190392188,3.33000113172519,1.90535518534684,0.297103340832421,4.15255469997041,1.07473405330308
"Interactive-Effects Estimator",100,20,1.01072976600324,0.0463187509125555,3.0220229696034,0.070309504482832,4.95254652130043,0.120504352865095,1.97649379797578,0.0434635078093515,3.99659184156053,0.0396169493321882
"Interactive-Effects Estimator",100,50,1.00731385081565,0.0237335949681639,3.00363463499371,0.0235916584702823,4.99925916626477,0.0566302177772873,1.99741162320751,0.0341048780357131,4.00798820330752,0.0317318313717606
"Interactive-Effects Estimator",100,100,1.00295087715973,0.0213282501103749,2.98848436124081,0.0297193953393103,5.00203428484321,0.0455511979799957,2.00577925349823,0.0177690703228243,4.00673159929702,0.023906998926046
"Interactive-Effects Estimator",10,100,1.11268730776338,0.196392854355561,3.12582741785365,0.180211209398077,4.28043310579867,1.27269969918525,1.91987188054465,0.278845467167766,3.97383663813967,0.356497972496998
"Interactive-Effects Estimator",20,100,1.05123813776053,0.093018788168052,3.03654956723154,0.0620183051385551,4.83502835143936,0.283362375678602,2.0338268441953,0.0727561719794689,4.02377104972766,0.0645557018888511
"Interactive-Effects Estimator",50,100,0.998580854089821,0.0274387997823976,3.01203913291212,0.0245805262395408,4.98344392320119,0.0448989664383826,2.00200540555331,0.019132955610903,4.01252655054593,0.0425953803333476
"Within Estimator",100,10,1.37517603862647,0.377712956433498,3.37364921500963,0.375900803313347,3.17219926363065,2.69650225603122,NA,NA,NA,NA
"Within Estimator",100,20,1.38523151781071,0.387326057858125,3.413792795716,0.415369948849153,3.98943696558238,1.64097306630518,NA,NA,NA,NA
"Within Estimator",100,50,1.39702704667927,0.397996386290242,3.38598845912587,0.387033067196441,4.21461364176031,0.856778939233834,NA,NA,NA,NA
"Within Estimator",100,100,1.39331721821153,0.393568691330067,3.38506936485285,0.38537896501103,3.97412913080467,1.12916889238584,NA,NA,NA,NA
"Within Estimator",10,100,1.41151004681305,0.417102202046477,3.42188565918756,0.428010027992925,4.19322039855407,1.17967109452897,NA,NA,NA,NA
"Within Estimator",20,100,1.38778572537471,0.389503928197157,3.38514261606973,0.38699669253217,4.50658402006566,0.849136946737657,NA,NA,NA,NA
"Within Estimator",50,100,1.38615232070324,0.387155145683979,3.40975093607063,0.411509278393463,4.03991960348297,1.1855126376688,NA,NA,NA,NA
