"method","N","T","Mean beta1","SD beta1","Mean beta2","SD beta2","Mean mu","SD mu","Mean gamma","SD gamma","Mean delta","SD delta"
"Interactive-Effects Estimator",100,10,1.1697177498457,0.228851260041961,3.17816534313947,0.244822526423731,6.67072959711168,8.07261306599842,2.00331678498205,0.246399397748855,3.67519229160976,0.890349763067544
"Interactive-Effects Estimator",100,20,1.06702905801432,0.156449757422091,3.07778517059892,0.146487431382105,7.62367099998036,6.33155977573173,1.946532215985,0.0856144339207672,2.74502302279068,3.06397123021821
"Interactive-Effects Estimator",100,50,0.992257982887886,0.0449397041924441,2.98770943368364,0.0303200432925838,5.00783903226126,0.0611120059560548,1.99726302637246,0.0338826100752546,3.99584988663023,0.03030088880343
"Interactive-Effects Estimator",100,100,1.04611425685637,0.116460421558897,3.03932627282507,0.107251055020168,10.0490796492142,11.9054959797258,1.01676190514191,3.1031720440519,3.02903266595494,3.07482682154859
"Interactive-Effects Estimator",10,100,1.03404703240592,0.16713034519615,3.08488474136333,0.180495669520467,4.58988199473404,1.09106347199956,1.82486496120884,0.376753942573322,3.96639076563189,0.214508237455359
"Interactive-Effects Estimator",20,100,1.14965069567263,0.230683331286152,3.13681970489262,0.243318393374712,7.45579302087111,8.65761677684909,1.68757123861522,1.02058929749287,2.88720480901205,3.25047199687923
"Interactive-Effects Estimator",50,100,1.03008166036047,0.0610208630274642,3.01653572854902,0.0601219416236872,6.30129718365544,4.14735106785158,2.00455476266258,0.0304256717633677,3.09476495422907,2.85056656810294
"Within Estimator",100,10,1.422899098457,0.427058529554333,3.43201205021829,0.436741007231237,4.04087529588913,2.07264702446664,NA,NA,NA,NA
"Within Estimator",100,20,1.4210271931331,0.423219838358269,3.4255264773773,0.429289312615203,4.45326525397974,0.863150229544522,NA,NA,NA,NA
"Within Estimator",100,50,1.44615786315685,0.446681991527471,3.43724136459868,0.43802183358028,4.2909354222049,1.11024986778288,NA,NA,NA,NA
"Within Estimator",100,100,1.44591419820766,0.446696193019708,3.44265364316024,0.442981762792829,4.28406043391954,0.98356166399207,NA,NA,NA,NA
"Within Estimator",10,100,1.40456303599705,0.407659887570514,3.46157054975648,0.46529422519308,4.47721268954812,0.912524874474564,NA,NA,NA,NA
"Within Estimator",20,100,1.45312126799139,0.454424634257957,3.44227232613046,0.443668300625861,3.61070229646156,1.55676907936773,NA,NA,NA,NA
"Within Estimator",50,100,1.44486162418858,0.445183097190917,3.43033572861475,0.430928545932901,4.19642730302503,1.0025492122477,NA,NA,NA,NA
